1935.125,6843
1935.208,6943
1935.292,6938
1935.375,6989
1935.458,7001
1935.542,6941
1935.625,6902
1935.708,6823
1935.792,6824
1935.875,6987
1935.958,6991
1936.042,6952
1936.125,7090
1936.208,7133
1936.292,7105
1936.375,7197
1936.458,7120
1936.542,7136
1936.625,7039
1936.708,6889
1936.792,6922
1936.875,6992
1936.958,6995
1937.042,6910
1937.125,6953
1937.208,7028
1937.292,7142
1937.375,7131
1937.458,7081
1937.542,7016
1937.625,6957
1937.708,6965
1937.792,7017
1937.875,7002
1937.958,7028
1938.042,7092
1938.125,7046
1938.208,6964
1938.292,7001
1938.375,7070
1938.458,7058
1938.542,7050
1938.625,7021
1938.708,6974
1938.792,6875
1938.875,6862
1938.958,6958
1939.042,6940
1939.125,6942
1939.208,6953
1939.292,6944
1939.375,7001
1939.458,7069
1939.542,7064
1939.625,7099
1939.708,7013
1939.792,6976
1939.875,6994
1939.958,7008
1940.042,7051
1940.125,7039
1940.208,6977
1940.292,7105
1940.375,7208
1940.458,7266
1940.542,7232
1940.625,7115
1940.708,6988
1940.792,7003
1940.875,7024
1940.958,7042
1941.042,7044
1941.125,7138
1941.208,7178
1941.292,7207
1941.375,7223
1941.458,7242
1941.542,7270
1941.625,7156
1941.708,7058
1941.792,6987
1941.875,7095
1941.958,6967
1942.042,7010
1942.125,7038
1942.208,6984
1942.292,7016
1942.375,7145
1942.458,7180
1942.542,7128
1942.625,7093
1942.708,7010
1942.792,6946
1942.875,6910
1942.958,6897
1943.042,6917
1943.125,6889
1943.208,6858
1943.292,6853
1943.375,6903
1943.458,6965
1943.542,6899
1943.625,6921
1943.708,6864
1943.792,6851
1943.875,6853
1943.958,6888
1944.042,6846
1944.125,6969
1944.208,7063
1944.292,7101
1944.375,7127
1944.458,7149
1944.542,7098
1944.625,7050
1944.708,6982
1944.792,6991
1944.875,6994
1944.958,7072
1945.042,7001
